No.,Date,X-position (arcsec),Y-position (arcsec),Start Time (UT),End Time (UT),L (Mm),P (s),A (km)
1,2021-09-14,-101.1,-1552.2,05:59:42,06:05:32,9.9,249 ± 36,111 ± 21
2,2021-09-14,-304.1,-1535.7,05:57:12,06:01:47,15.9,129 ± 9,123 ± 35
3,2021-09-14,-158.7,-1524.2,05:53:02,05:56:22,11.7,128 ± 24,172 ± 25
4,2021-09-14,-101.4,-1552.3,06:02:37,06:09:42,8.5,172 ± 9,71 ± 14
5,2021-09-14,-111.5,-1327.7,05:58:52,06:01:22,12.4,64 ± 13,90 ± 29
6,2021-09-14,163.1,-1019.1,05:53:02,05:58:52,16.7,255 ± 34,149 ± 30
7,2021-09-14,192.2,-1478.6,05:54:42,06:03:02,10.7,227 ± 31,76 ± 13
8,2021-09-14,493.7,-1264.2,05:53:02,05:57:12,6.2,151 ± 24,191 ± 28
9,2021-09-14,488.3,-1251.2,05:53:02,05:58:02,10.7,188 ± 16,86 ± 12
10,2021-09-14,392.7,-1014.7,05:53:52,06:02:12,5.2,210 ± 16,300 ± 55
11,2021-09-14,113.1,-1276.1,05:56:22,05:59:42,12.6,142 ± 27,101 ± 29
12,2021-09-14,291.3,-1158.6,06:03:02,06:11:22,8.6,264 ± 41,192 ± 42
13,2021-09-14,114.4,-1275.5,05:57:02,05:59:42,12.6,86 ± 13,108 ± 17
14,2021-09-14,140.7,-1605.2,06:06:22,06:08:37,5.4,98 ± 9,132 ± 31
15,2021-09-14,288.2,-1548.4,06:06:12,06:11:37,7.7,272 ± 48,219 ± 38
16,2021-09-14,96.1,-1592.2,06:02:17,06:05:47,10.1,142 ± 25,215 ± 35
17,2021-09-14,-763.3,1287.8,04:16:27,04:19:22,23.2,88 ± 16,139 ± 44
18,2021-09-14,-314.1,1317.8,04:13:32,04:16:47,6.8,120 ± 18,75 ± 25
19,2021-09-14,-320.6,1335.7,04:21:27,04:26:37,13.8,159 ± 14,283 ± 25
20,2021-09-14,-514.3,1562.5,04:13:07,04:15:12,7.7,53 ± 10,109 ± 40
21,2021-09-14,-8.1,1557.7,04:11:27,04:15:12,9.6,99 ± 8,93 ± 27
22,2022-03-30,-150.1,-2791.6,04:35:42,04:41:30,8.8,94 ± 5,118 ± 23
23,2022-03-30,-270.1,-2416.1,04:31:15,04:33:09,3.8,51 ± 6,49 ± 8
24,2022-03-30,-613.3,-2562.2,04:41:39,04:51:54,3.0,224 ± 15,175 ± 36
25,2022-03-30,-612.3,-2557.8,04:31:06,04:37:54,6.9,220 ± 9,358 ± 48
26,2022-03-30,-584.1,-2714.7,04:41:30,04:45:15,4.6,97 ± 5,59 ± 9
27,2022-03-30,-303.5,-2626.8,04:31:36,04:35:00,8.5,115 ± 25,56 ± 8
28,2022-03-30,-303.3,-2625.8,04:40:00,04:44:33,9.6,151 ± 15,89 ± 27
29,2022-03-30,-220.0,-2532.9,04:31:36,04:37:30,7.0,188 ± 18,123 ± 34
30,2022-03-30,205.4,-2643.5,04:55:15,04:56:24,8.5,28 ± 5,73 ± 4
31,2022-03-30,247.5,-2313.7,04:42:30,04:51:30,6.0,129 ± 3,119 ± 24
32,2022-03-30,269.4,-2324.2,04:32:00,04:38:00,6.2,127 ± 13,128 ± 14
33,2022-03-30,253.7,-2316.7,04:30:00,04:32:30,4.9,68 ± 7,103 ± 25
34,2022-03-30,231.3,-2306.0,04:32:00,04:35:30,4.5,122 ± 18,109 ± 15
35,2022-03-30,260.9,-2320.1,04:50:00,04:55:30,4.2,65 ± 5,65 ± 13
36,2022-03-30,71.4,-2275.9,04:31:06,04:33:42,5.8,54 ± 15,35 ± 11
37,2022-03-30,162.7,-2864.4,04:43:00,04:48:54,12.5,132 ± 8,202 ± 42
38,2022-03-30,153.7,-2856.3,04:53:00,04:59:30,7.0,215 ± 7,278 ± 23
39,2022-03-30,155.1,-2855.6,04:32:45,04:38:15,10.1,163 ± 15,140 ± 18
40,2022-03-30,-105.6,-2829.7,04:30:54,04:35:12,13.4,180 ± 29,81 ± 10
41,2022-03-30,169.0,-2863.0,04:45:15,04:49:15,18.4,103 ± 4,121 ± 12
42,2022-03-30,-62.4,-2917.0,04:54:30,04:58:00,5.5,72 ± 5,116 ± 22
