 No .,L (Mm),P (s),A (km),V (km/s),Ck(km/s),B (G),Mean Loop Width (Mm)
1,24.5,252 ± 5,176 ± 12,4.4 ± 0.3,194,2.6,0.5
2,29.4,31 ± 2,50 ± 10,10.1 ± 2.1,1897,25.3,0.2
3,37.1,31 ± 1,86 ± 10,17.4 ± 2.1,2394,31.9,0.3
4,7.7,95 ± 2,68 ± 8,4.5 ± 0.5,162,2.2,0.6
5,8.9,165 ± 6,128 ± 15,4.9 ± 0.6,108,1.4,0.3
6,17.4,50 ± 3,74 ± 14,9.3 ± 1.8,696,9.3,0.3
7,25.1,147 ± 4,85 ± 9,3.6 ± 0.4,341,4.6,0.4
8,25.9,42 ± 2,58 ± 13,8.7 ± 2,1233,16.4,1.1
9,17.9,169 ± 12,58 ± 13,2.2 ± 0.5,212,2.8,0.3
10,28.9,25 ± 0,60 ± 4,15.1 ± 1,2312,30.8,1.1
11,24.5,103 ± 8,137 ± 16,8.4 ± 1.2,476,6.3,0.3
12,22.2,59 ± 3,85 ± 18,9.1 ± 2,753,10,1
13,42.5,308 ± 17,355 ± 50,7.2 ± 1.1,276,3.7,0.5
14,12.2,421 ± 16,408 ± 27,6.1 ± 0.5,58,0.8,1.1
15,16.3,165 ± 10,121 ± 21,4.6 ± 0.8,198,2.6,2.3
16,19.8,188 ± 11,52 ± 10,1.7 ± 0.3,211,2.8,0.3
17,12.6,23 ± 1,45 ± 14,12.3 ± 3.9,1096,14.6,1.6
18,13.2,157 ± 3,39 ± 3,1.6 ± 0.1,168,2.2,0.3
19,17.2,63 ± 8,53 ± 35,5.3 ± 3.6,546,7.3,0.4
20,17.2,75 ± 5,45 ± 7,3.8 ± 0.6,459,6.1,0.4
21,14.3,89 ± 5,37 ± 8,2.6 ± 0.6,321,4.3,0.3
22,10,262 ± 2,189 ± 6,4.5 ± 0.1,76,1,1.1
23,16.8,168 ± 3,208 ± 7,7.8 ± 0.3,200,2.7,0.3
24,15,88 ± 2,85 ± 7,6.1 ± 0.5,341,4.5,0.3
25,15.7,25 ± 1,94 ± 14,23.6 ± 3.6,1256,16.7,0.4
26,17.2,66 ± 6,87 ± 28,8.3 ± 2.8,521,6.9,0.2
27,12.8,99 ± 2,283 ± 20,18 ± 1.3,259,3.4,0.5
28,13.5,79 ± 1,95 ± 3,7.6 ± 0.3,342,4.6,1.7
29,12.8,359 ± 13,191 ± 14,3.3 ± 0.3,71,1,0.4
30,13.3,103 ± 2,268 ± 16,16.3 ± 1,258,3.4,1.5
31,31.4,36 ± 1,54 ± 6,9.4 ± 1.1,1744,23.3,0.3
32,14.7,113 ± 6,82 ± 8,4.6 ± 0.5,260,3.5,0.2
